grader_type,sigma,rbf_score,accuracy,spearman
correlation_60pct,0.1,40.0,0.4,0.5439962815793863
accuracy_80pct,0.1,88.0,0.88,0.8480389478091547
accuracy_70pct,0.1,78.0,0.78,0.646354662336288
accuracy_60pct,0.1,67.0,0.67,0.5828181994379549
correlation_70pct,0.1,40.0,0.4,0.6278098968470703
correlation_60pct,0.1,39.0,0.39,0.4992041992573294
accuracy_80pct,0.1,81.0,0.81,0.7311941763659162
accuracy_70pct,0.1,79.0,0.79,0.7449175587803938
accuracy_60pct,0.1,66.0,0.66,0.5474943320839271
correlation_70pct,0.1,44.0,0.44,0.5824517924202803
correlation_60pct,0.1,35.0,0.35,0.5283028637454745
accuracy_80pct,0.1,83.0,0.83,0.76148710097381
accuracy_70pct,0.1,79.0,0.79,0.7560877010647379
accuracy_60pct,0.1,70.0,0.7,0.6433234543129666
correlation_70pct,0.1,41.0,0.41,0.6490903984769487
correlation_60pct,0.1,37.0,0.37,0.7323909690433489
accuracy_80pct,0.1,84.0,0.84,0.7820906708106382
accuracy_70pct,0.1,74.0,0.74,0.7418173736553132
accuracy_60pct,0.1,67.0,0.67,0.5456148898806591
correlation_70pct,0.1,39.0,0.39,0.6445120981507952
correlation_60pct,0.1,43.0,0.43,0.48689356619594215
accuracy_80pct,0.1,84.0,0.84,0.7624412518162614
accuracy_70pct,0.1,78.0,0.78,0.6642645551380237
accuracy_60pct,0.1,69.0,0.69,0.69373762886609
correlation_70pct,0.1,44.0,0.44,0.6842236787163871
correlation_60pct,0.1,36.0,0.36,0.4740915737260889
accuracy_80pct,0.1,87.0,0.87,0.7794227022673511
accuracy_70pct,0.1,75.0,0.75,0.7727820250334452
accuracy_60pct,0.1,67.0,0.67,0.6563086604811629
correlation_70pct,0.1,43.0,0.43,0.5687205967934102
correlation_60pct,0.1,34.0,0.34,0.5371958363341658
accuracy_80pct,0.1,86.0,0.86,0.8105992809608755
accuracy_70pct,0.1,79.0,0.79,0.763462415858183
accuracy_60pct,0.1,68.0,0.68,0.6672077569322225
correlation_70pct,0.1,43.0,0.43,0.5970340364492377
correlation_60pct,0.1,42.0,0.42,0.5607432751785332
accuracy_80pct,0.1,85.0,0.85,0.781161827624782
accuracy_70pct,0.1,76.0,0.76,0.6453271124174037
accuracy_60pct,0.1,67.0,0.67,0.6004731786846443
correlation_70pct,0.1,45.0,0.45,0.6729878268675492
correlation_60pct,0.1,46.0,0.46,0.5840588917946247
accuracy_80pct,0.1,85.0,0.85,0.81276005091153
accuracy_70pct,0.1,76.0,0.76,0.6501422449084426
accuracy_60pct,0.1,68.0,0.68,0.5375535104109129
correlation_70pct,0.1,53.0,0.53,0.6428593221475984
correlation_60pct,0.1,46.0,0.46,0.6008514146435879
accuracy_80pct,0.1,83.0,0.83,0.7223638865440095
accuracy_70pct,0.1,79.0,0.79,0.8008801693510597
accuracy_60pct,0.1,69.0,0.69,0.6491904444132733
correlation_70pct,0.1,36.0,0.36,0.609586192063926
correlation_60pct,0.1,45.0,0.45,0.5078005611828519
accuracy_80pct,0.1,84.0,0.84,0.8237675421423724
accuracy_70pct,0.1,77.0,0.77,0.7348677586875105
accuracy_60pct,0.1,70.0,0.7,0.6076017044495958
correlation_70pct,0.1,43.0,0.43,0.6024368133558821
correlation_60pct,0.1,35.0,0.35,0.5364524431561637
accuracy_80pct,0.1,87.0,0.87,0.7865679919108624
accuracy_70pct,0.1,78.0,0.78,0.742090494507309
accuracy_60pct,0.1,65.0,0.65,0.5147635303214564
