simulation,grader_type,rbf_score,accuracy,spearman
21,accuracy_70pct,82.69213884798727,0.8,0.6593383353416913
21,accuracy_60pct,74.20165494410294,0.7,0.5660770707587631
21,correlation_70pct,62.076085137287905,0.45,0.6782188293615454
21,correlation_60pct,56.174616494924024,0.38,0.5130429570110686
22,accuracy_80pct,87.04942779788459,0.83,0.7535461466092351
22,accuracy_70pct,82.85166682205907,0.77,0.742941192139112
22,accuracy_60pct,76.31074858967226,0.69,0.6098097061988443
22,correlation_70pct,60.38905203095446,0.44,0.5397686384066779
22,correlation_60pct,55.40909067261836,0.4,0.4786720623811485
23,accuracy_80pct,86.00184428157411,0.83,0.7716790693205088
23,accuracy_70pct,79.42981176913783,0.76,0.5910807437100969
23,accuracy_60pct,73.9391223789389,0.69,0.5574393056764322
23,correlation_70pct,59.62352620864881,0.46,0.6281253674318571
23,correlation_60pct,56.48737798346134,0.39,0.565194543518721
24,accuracy_80pct,90.29477245239138,0.87,0.8569568634385829
24,accuracy_70pct,81.16473633710488,0.76,0.6638035489700889
24,accuracy_60pct,75.00348307683358,0.69,0.6136108233276959
24,correlation_70pct,55.84782577205915,0.38,0.5453738502835538
24,correlation_60pct,48.751138614811765,0.29,0.48094540173207107
25,accuracy_80pct,86.9207062397245,0.85,0.7677572324618666
25,accuracy_70pct,83.41018369417628,0.79,0.7233017311359622
25,accuracy_60pct,74.62371548333881,0.68,0.5974410691959412
25,correlation_70pct,57.47049809931254,0.4,0.58388208982738
25,correlation_60pct,50.996585971883164,0.32,0.4868719758465271
26,accuracy_80pct,86.6890827118514,0.83,0.8038603381284717
26,accuracy_70pct,80.82116843265585,0.76,0.7394557035352861
26,accuracy_60pct,73.01771771629035,0.66,0.5272514883621735
26,correlation_70pct,62.71563734869008,0.46,0.6748442679868791
26,correlation_60pct,54.12998624981401,0.38,0.5051050436276682
27,accuracy_80pct,85.00194698413873,0.82,0.736221016098312
27,accuracy_70pct,84.70586005580634,0.81,0.7059446092665663
