simulation,grader_type,linear_score,accuracy,spearman
32,accuracy_80pct,94.5,0.86,0.8703050521357347
32,accuracy_70pct,90.5,0.79,0.7509007959749594
32,accuracy_60pct,84.25,0.66,0.5275631594638337
32,correlation_70pct,79.5,0.36,0.5408653913016638
32,correlation_60pct,79.75,0.36,0.5870100141703609
33,accuracy_80pct,94.0,0.85,0.8084533339225771
33,accuracy_70pct,88.0,0.75,0.5939006126936447
33,accuracy_60pct,86.25,0.72,0.49978612563402125
33,correlation_70pct,82.25,0.44,0.6652198643654723
33,correlation_60pct,72.75,0.26,0.3998036915726391
34,accuracy_80pct,91.5,0.81,0.7661869111800284
34,accuracy_70pct,90.0,0.77,0.7310616875404102
34,accuracy_60pct,86.25,0.69,0.6168289082224478
34,correlation_70pct,79.25,0.34,0.5580681361916819
34,correlation_60pct,78.0,0.37,0.5252252848078566
35,accuracy_80pct,93.0,0.87,0.7008186745257314
35,accuracy_70pct,91.75,0.78,0.7592888268935378
35,accuracy_60pct,89.75,0.75,0.6806613290286361
35,correlation_70pct,86.25,0.53,0.716190141946114
35,correlation_60pct,80.75,0.41,0.5849695424408177
36,accuracy_80pct,94.0,0.86,0.8110644385176933
36,accuracy_70pct,91.25,0.76,0.7641425467059768
36,accuracy_60pct,87.75,0.71,0.6016549826248951
36,correlation_70pct,84.0,0.48,0.6655958388717371
36,correlation_60pct,80.5,0.38,0.4701120992515174
37,accuracy_80pct,92.5,0.86,0.7241420109305106
37,accuracy_70pct,89.75,0.76,0.6886809720615348
37,accuracy_60pct,87.75,0.69,0.6372515499372212
37,correlation_70pct,79.25,0.36,0.5377108401271343
37,correlation_60pct,77.0,0.29,0.5239330786623129
38,accuracy_80pct,93.25,0.84,0.7900826031564581
38,accuracy_70pct,90.0,0.77,0.6957493934600812
38,accuracy_60pct,84.25,0.67,0.5091347863770015
38,correlation_70pct,81.75,0.37,0.6456080085289835
38,correlation_60pct,82.0,0.43,0.6079434986600639
39,accuracy_80pct,93.5,0.83,0.8417950787027367
39,accuracy_70pct,90.5,0.73,0.754522328216633
39,accuracy_60pct,85.25,0.68,0.5482820310524315
39,correlation_70pct,81.5,0.4,0.6380538388979293
39,correlation_60pct,77.75,0.36,0.47088778240189677
40,accuracy_80pct,94.5,0.89,0.827864655360397
40,accuracy_70pct,89.75,0.77,0.66147679443888
40,accuracy_60pct,83.75,0.64,0.48234515832161706
40,correlation_70pct,82.5,0.43,0.6531153452034636
40,correlation_60pct,80.75,0.43,0.518214332983829
41,accuracy_80pct,95.0,0.86,0.8821631392462423
41,accuracy_70pct,89.75,0.8,0.6296686969223072
41,accuracy_60pct,88.5,0.68,0.7012493757462004
41,correlation_70pct,80.0,0.34,0.5703603491262931
41,correlation_60pct,78.75,0.32,0.5442036129563587
42,accuracy_80pct,95.5,0.89,0.8585546426964236
42,accuracy_70pct,89.5,0.78,0.6471949962373209
42,accuracy_60pct,89.75,0.74,0.6351944361521348
42,correlation_70pct,79.25,0.34,0.570427586034942
42,correlation_60pct,78.25,0.32,0.47926901384626824
43,accuracy_80pct,92.25,0.85,0.707192942700946
43,accuracy_70pct,92.0,0.8,0.7766010878282806
43,accuracy_60pct,88.0,0.71,0.6475386408120164
43,correlation_70pct,83.75,0.45,0.7205924105978744
43,correlation_60pct,74.5,0.35,0.30675781248575806
44,accuracy_80pct,90.75,0.83,0.7030489146798414
44,accuracy_70pct,93.0,0.8,0.8282741112452623
44,accuracy_60pct,86.25,0.7,0.547722179707024
44,correlation_70pct,79.25,0.32,0.5864295800368359
44,correlation_60pct,75.0,0.33,0.34989861017521184
45,accuracy_80pct,94.75,0.86,0.8261277476170591
45,accuracy_70pct,92.5,0.8,0.7646412469385256
45,accuracy_60pct,85.75,0.65,0.5240154195796799
45,correlation_70pct,83.75,0.5,0.6193241579180819
45,correlation_60pct,80.0,0.39,0.4694870362619415
46,accuracy_80pct,92.25,0.84,0.754741456648807
46,accuracy_70pct,90.5,0.76,0.7423584127909075
46,accuracy_60pct,86.5,0.69,0.589785732646552
46,correlation_70pct,80.5,0.34,0.5592095270319855
46,correlation_60pct,80.25,0.39,0.5802240341668287
47,accuracy_80pct,94.5,0.84,0.8719749915512575
47,accuracy_70pct,90.25,0.78,0.6634834675438774
47,accuracy_60pct,87.75,0.72,0.5114537421060821
47,correlation_70pct,82.75,0.41,0.6637571443072114
47,correlation_60pct,80.75,0.41,0.5685589280120062
48,accuracy_80pct,92.5,0.84,0.749690333701868
48,accuracy_70pct,89.25,0.73,0.7172341638829957
48,accuracy_60pct,88.0,0.71,0.6509309338438981
48,correlation_70pct,83.75,0.48,0.5609972128431056
48,correlation_60pct,79.25,0.37,0.50922107460827
49,accuracy_80pct,93.75,0.86,0.8354372880295322
49,accuracy_70pct,88.75,0.74,0.6870359444337704
49,accuracy_60pct,84.75,0.68,0.5659509172570821
49,correlation_70pct,81.0,0.38,0.64582713301488
49,correlation_60pct,80.75,0.42,0.6070160941704207
50,accuracy_80pct,94.25,0.86,0.8128069017078975
50,accuracy_70pct,88.5,0.75,0.5798234951997175
50,accuracy_60pct,88.25,0.67,0.6363900006451642
50,correlation_70pct,83.5,0.43,0.6386522892470778
50,correlation_60pct,81.5,0.4,0.5305441653923024
51,accuracy_80pct,93.75,0.86,0.8006662420553838
51,accuracy_70pct,91.0,0.79,0.713533171650875
51,accuracy_60pct,88.75,0.74,0.6502735232243178
51,correlation_70pct,82.75,0.46,0.6192149752125606
51,correlation_60pct,78.25,0.34,0.4874636149796431
52,accuracy_80pct,95.0,0.86,0.8527043749390975
52,accuracy_70pct,91.25,0.78,0.7309181356011711
52,accuracy_60pct,86.5,0.69,0.591399779593867
52,correlation_70pct,82.25,0.47,0.5892666178486622
52,correlation_60pct,76.5,0.33,0.4417063319564551
53,accuracy_80pct,92.5,0.84,0.7474894684831972
53,accuracy_70pct,89.0,0.76,0.6053531000982397
53,accuracy_60pct,87.75,0.67,0.6387179173022456
53,correlation_70pct,82.75,0.43,0.6394256311084814
53,correlation_60pct,82.25,0.41,0.6386492743391113
54,accuracy_80pct,94.0,0.83,0.8135536042470217
54,accuracy_70pct,90.25,0.8,0.6416210849208567
54,accuracy_60pct,87.5,0.68,0.6006804504607718
54,correlation_70pct,84.75,0.51,0.5938577188127878
54,correlation_60pct,78.5,0.32,0.48791546241923234
55,accuracy_80pct,95.25,0.86,0.8949095717788321
55,accuracy_70pct,90.0,0.79,0.6135205077027325
55,accuracy_60pct,86.25,0.7,0.5618340859558599
55,correlation_70pct,80.5,0.39,0.5599711823877683
55,correlation_60pct,80.75,0.41,0.5460032814934573
56,accuracy_80pct,93.5,0.86,0.7771922072554641
56,accuracy_70pct,90.75,0.77,0.6952284353303946
56,accuracy_60pct,86.0,0.7,0.5043785935395881
56,correlation_70pct,80.0,0.39,0.5410486711268271
56,correlation_60pct,80.25,0.38,0.5895852302927426
57,accuracy_80pct,94.25,0.85,0.8220112664905651
57,accuracy_70pct,91.75,0.8,0.7392097629900984
57,accuracy_60pct,88.75,0.74,0.7034996182080028
57,correlation_70pct,80.75,0.39,0.5763776205534976
57,correlation_60pct,81.0,0.44,0.5814713655755002
58,accuracy_80pct,90.75,0.83,0.6716586503392055
58,accuracy_70pct,91.5,0.77,0.8010807733026918
58,accuracy_60pct,85.75,0.69,0.5744194844987408
58,correlation_70pct,80.5,0.39,0.6656340723811851
58,correlation_60pct,78.25,0.38,0.5674807819557758
59,accuracy_80pct,93.0,0.85,0.7948711688664194
59,accuracy_70pct,91.75,0.79,0.7440730704491896
59,accuracy_60pct,86.25,0.67,0.5898284637574873
59,correlation_70pct,81.75,0.39,0.6568887264144319
59,correlation_60pct,79.5,0.4,0.4980004725575403
60,accuracy_80pct,95.75,0.86,0.9110858602479448
60,accuracy_70pct,89.25,0.75,0.6824162522013707
60,accuracy_60pct,87.5,0.71,0.6252855440904205
60,correlation_70pct,82.0,0.38,0.643117569963923
60,correlation_60pct,78.25,0.4,0.39541257481670716
61,accuracy_80pct,91.75,0.84,0.7184400459690061
61,accuracy_70pct,91.5,0.77,0.7644351396589728
61,accuracy_60pct,87.5,0.71,0.6212926316447304
61,correlation_70pct,82.5,0.43,0.6129531303948493
61,correlation_60pct,80.75,0.42,0.5211636452492867
62,accuracy_80pct,93.0,0.85,0.7978435494129963
62,accuracy_70pct,89.5,0.77,0.6634886452108466
62,accuracy_60pct,87.0,0.69,0.5627383099082192
62,correlation_70pct,79.25,0.35,0.5649490103077045
62,correlation_60pct,83.0,0.39,0.6342908984844028
63,accuracy_80pct,93.75,0.86,0.7977884450355199
63,accuracy_70pct,92.75,0.81,0.798619143456802
63,accuracy_60pct,86.0,0.66,0.5871027267996834
63,correlation_70pct,80.25,0.39,0.5101222658797928
63,correlation_60pct,77.0,0.36,0.526685071425438
64,accuracy_80pct,93.75,0.84,0.8061380732962086
64,accuracy_70pct,91.75,0.75,0.7690722272635363
64,accuracy_60pct,88.25,0.7,0.6802301461264083
64,correlation_70pct,82.25,0.42,0.6141343513790948
64,correlation_60pct,80.0,0.36,0.5481909493935834
65,accuracy_80pct,93.5,0.85,0.7874213599281998
65,accuracy_70pct,90.5,0.75,0.7254906797900249
65,accuracy_60pct,85.5,0.68,0.6253220503130887
65,correlation_70pct,85.75,0.53,0.7218008344262136
65,correlation_60pct,76.5,0.32,0.47892378065118524
66,accuracy_80pct,93.25,0.83,0.8497755670227841
66,accuracy_70pct,89.25,0.75,0.7236977072236536
66,accuracy_60pct,88.25,0.73,0.7060387203714433
66,correlation_70pct,80.5,0.38,0.6712818958837677
66,correlation_60pct,79.0,0.38,0.5981091030201833
67,accuracy_80pct,93.25,0.84,0.788308961649903
67,accuracy_70pct,89.0,0.72,0.6748116952198177
67,accuracy_60pct,86.25,0.67,0.5461231217466395
67,correlation_70pct,82.75,0.44,0.6013100401969184
67,correlation_60pct,80.25,0.4,0.523992186067248
68,accuracy_80pct,93.5,0.85,0.827557238546151
68,accuracy_70pct,90.75,0.78,0.7058975781304482
68,accuracy_60pct,87.75,0.67,0.6622807568993139
68,correlation_70pct,83.75,0.48,0.7165251177375161
68,correlation_60pct,78.5,0.35,0.4527544106452677
69,accuracy_80pct,92.0,0.83,0.7185655689696823
69,accuracy_70pct,90.0,0.75,0.709032801452975
69,accuracy_60pct,89.5,0.74,0.6958537479774503
69,correlation_70pct,83.0,0.41,0.7116856712612769
69,correlation_60pct,77.5,0.3,0.43413541191901767
